Excuse for missing friends meeting,Reasonable/Unreasonable
Ayham is coming,Unreasonable
John is coming ,Unreasonable
Obai is coming,Unreasonable
Saif is coming,Unreasonable
Fayez is coming,Unreasonable
Ahmad is coming,Unreasonable
Majd is coming,Unreasonable
Tareq is coming,Unreasonable
Qusay is coming,Unreasonable
Fouad is coming,Unreasonable
Ayham is not coming,Unreasonable
John is not coming ,Unreasonable
Obai is not coming,Unreasonable
Saif is not coming,Unreasonable
Fayez is not coming,Unreasonable
Ahmad is not coming,Unreasonable
Majd is not coming,Unreasonable
Tareq is not coming,Unreasonable
Qusay is not coming,Unreasonable
Fouad is not coming,Unreasonable
Not everyone is coming,Unreasonable
I don't want to,Unreasonable
I don't like it,Unreasonable
I am tired,Unreasonable
I am bored,Unreasonable
I don't have enough money,Unreasonable
Money,Unreasonable
Sadness,Unreasonable
Depression,Unreasonable
Lack of water,Unreasonable
The weather,Unreasonable
It is raining,Unreasonable
It is snowing,Unreasonable
Weather,Unreasonable
Lack of electrisity,Unreasonable
Lack of nutrition,Unreasonable
Lack of Money,Unreasonable
Lack of power,Unreasonable
Lack of food,Unreasonable
Lack of sleep,Unreasonable
Weakness,Unreasonable
Lack of love,Unreasonable
Emotional drought,Unreasonable
Emotional damage,Unreasonable
Emotional discontent,Unreasonable
Overgrazing,Unreasonable
Watching a film,Unreasonable
Watching a movie,Unreasonable
Watching a Football match,Unreasonable
Watching the news,Unreasonable
Gaming,Unreasonable
Playing video games,Unreasonable
Scocial media,Unreasonable
Youtube,Unreasonable
TikTok,Unreasonable
instagram,Unreasonable
Fighting internet worriors online ,Unreasonable
Lack of transportation,Unreasonable
Transportation,Unreasonable
You have a non-fixed meeting,Unreasonable
Lack of petrol,Unreasonable
Lack of gasolline,Unreasonable
Lack of deisel,Unreasonable
Drinking Water,Unreasonable
The trip is too far,Unreasonable
Weakness of the ottoman empire,Unreasonable
Eating food,Unreasonable
Water contamination,Unreasonable
Global worming,Unreasonable
Not having a car,Unreasonable
Lacking strength,Unreasonable
Forgetting,Unreasonable
Gym,Unreasonable
Training,Unreasonable
Parents,Reasonable
Health condition,Reasonable
Business,Reasonable
We have guests at home,Reasonable
Extremely important family responsibility,Reasonable
Out of range,Reasonable
Medical proceedure,Reasonable
Medicine,Reasonable
Disease,Reasonable
Pandamic,Reasonable
Illness,Reasonable
Sickness,Reasonable
Health,Reasonable
Surgery,Reasonable
Having an exam,Reasonable
Having a test,Reasonable
Studying for a test,Reasonable
University lectures,Reasonable
Unskippable courses,Reasonable
Illness,Reasonable
Medical condition,Reasonable
Medical operation,Reasonable
Unskippable doctor appointment,Reasonable
Unskippable appointment,Reasonable
Being outside the country,Reasonable
Living abroad,Reasonable
Having a flight,Reasonable
Flying,Reasonable
Studying for an exam,Reasonable
Exam,Reasonable
Test,Reasonable
Quiz,Reasonable
Injury,Reasonable
Broken leg,Reasonable
Broken nose,Reasonable
Broken bone,Reasonable
Recovering from an operation,Reasonable
Broken ribs,Reasonable
Family occasions,Reasonable
Holidays celebrations,Reasonable
